  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.0000E+00      1.0000E+00      1.0000E+00      1.0000E+00      1.0000E+00      8.9996E+01      9.0002E+01      1.0000E+00
      1.0001E+00      1.0000E+00      1.0000E+00      1.0001E+00      1.0000E+00      8.9987E+01      9.0008E+01      1.0000E+00
      1.0003E+00      1.0001E+00      1.0000E+00      1.0003E+00      1.0001E+00      8.9964E+01      9.0024E+01      1.0000E+00
      1.0008E+00      1.0004E+00      1.0000E+00      1.0008E+00      1.0003E+00      8.9922E+01      9.0051E+01      1.0000E+00
      1.0014E+00      1.0008E+00      1.0000E+00      1.0015E+00      1.0008E+00      8.9873E+01      9.0096E+01      1.0000E+00
      1.0021E+00      1.0015E+00      1.0000E+00      1.0025E+00      1.0015E+00      8.9850E+01      9.0138E+01      1.0000E+00
      1.0027E+00      1.0020E+00      1.0000E+00      1.0039E+00      1.0020E+00      8.9886E+01      9.0144E+01      1.0000E+00
      1.0030E+00      1.0022E+00      1.0000E+00      1.0049E+00      1.0022E+00      8.9935E+01      9.0085E+01      1.0000E+00
      1.0030E+00      1.0022E+00      1.0000E+00      1.0049E+00      1.0022E+00      8.9935E+01      9.0085E+01      1.0000E+00
      1.0027E+00      1.0020E+00      1.0000E+00      1.0039E+00      1.0020E+00      8.9886E+01      9.0144E+01      1.0000E+00
      1.0021E+00      1.0014E+00      1.0000E+00      1.0025E+00      1.0015E+00      8.9850E+01      9.0138E+01      1.0000E+00
      1.0014E+00      1.0008E+00      1.0000E+00      1.0015E+00      1.0008E+00      8.9873E+01      9.0096E+01      1.0000E+00
      1.0008E+00      1.0004E+00      1.0000E+00      1.0008E+00      1.0003E+00      8.9922E+01      9.0051E+01      1.0000E+00
      1.0003E+00      1.0001E+00      1.0000E+00      1.0003E+00      1.0001E+00      8.9964E+01      9.0024E+01      1.0000E+00
      1.0001E+00      1.0000E+00      1.0000E+00      1.0001E+00      1.0000E+00      8.9987E+01      9.0008E+01      1.0000E+00
      1.0000E+00      1.0000E+00      1.0000E+00      1.0000E+00      1.0000E+00      8.9996E+01      9.0002E+01      1.0000E+00
      1.0001E+00      1.0001E+00      1.0000E+00      1.0001E+00      1.0000E+00      8.9992E+01      9.0006E+01      1.0000E+00
      1.0003E+00      1.0002E+00      1.0000E+00      1.0003E+00      1.0001E+00      8.9973E+01      9.0021E+01      1.0000E+00
      1.0008E+00      1.0004E+00      1.0000E+00      1.0007E+00      1.0004E+00      8.9929E+01      9.0059E+01      1.0000E+00
      1.0014E+00      1.0007E+00      1.0000E+00      1.0011E+00      1.0008E+00      8.9856E+01      9.0126E+01      1.0000E+00
      1.0018E+00      1.0006E+00      1.0000E+00      1.0009E+00      1.0012E+00      8.9782E+01      9.0196E+01      1.0000E+00
      1.0015E+00      1.0007E+00      1.0000E+00      1.0012E+00      1.0012E+00      8.9756E+01      9.0232E+01      1.0000E+00
      1.0007E+00      1.0016E+00      1.0000E+00      1.0034E+00      9.9995E-01      8.9788E+01      9.0238E+01      1.0000E+00
      9.9992E-01      1.0022E+00      1.0000E+00      1.0052E+00      9.9888E-01      8.9873E+01      9.0139E+01      1.0000E+00
      9.9992E-01      1.0022E+00      1.0000E+00      1.0052E+00      9.9887E-01      8.9873E+01      9.0139E+01      1.0000E+00
      1.0007E+00      1.0016E+00      1.0000E+00      1.0034E+00      9.9994E-01      8.9788E+01      9.0238E+01      1.0000E+00
      1.0015E+00      1.0007E+00      1.0000E+00      1.0012E+00      1.0012E+00      8.9756E+01      9.0232E+01      1.0000E+00
